item_id,order_id,product_id,quantity,unit_price,discount
1,171,6,3,1725.4,0.09
3,61,80,1,1909.73,0.37
6,153,70,3,116.9,0.37
9,390,73,2,1311.9,0.2
10,762,53,2,1141.11,0.22
12,146,3,8,1596.68,0.19
13,97,29,2,1304.83,0.24
22,24,75,7,1137.6,0.3
23,690,69,8,1481.33,0.25
24,561,55,4,86.06,0.01
25,100,32,2,1049.17,0.03
27,385,74,10,1781.69,0.11
28,660,3,9,1820.95,0.28
31,719,43,1,1876.84,0.25
34,384,2,6,452.65,0.33
36,512,27,3,522.65,0.14
37,104,17,3,791.51,0.39
38,410,20,2,1913.0,0.25
39,639,38,3,1158.47,0.26
42,708,36,2,1534.0,0.04
43,3,55,10,1578.97,0.2
45,768,36,4,985.93,0.05
46,509,19,9,773.18,0.39
48,509,13,9,832.81,0.31
50,644,16,6,450.8,0.21
51,536,1,1,1522.1,0.29
54,361,60,1,343.58,0.1
55,125,51,7,985.93,0.31
57,754,15,3,779.85,0.0
60,488,47,7,1398.08,0.16
62,126,41,6,1490.2,0.37
63,138,30,8,1015.85,0.14
67,723,59,3,1127.43,0.13
68,529,39,7,505.09,0.0
69,212,44,7,954.4,0.28
70,54,53,5,1036.44,0.37
72,264,2,6,825.93,0.02
74,724,23,8,211.06,0.3
75,110,55,3,1235.49,0.22
77,273,24,2,125.8,0.22
79,287,49,1,324.02,0.11
80,760,51,1,316.77,0.14
81,231,17,8,364.46,0.34
82,791,73,7,1438.46,0.18
85,381,39,1,562.59,0.22
86,178,1,2,86.27,0.32
87,232,44,1,455.94,0.16
89,661,30,5,1506.55,0.04
92,78,30,7,260.58,0.17
94,546,35,1,386.15,0.28
95,738,18,5,479.34,0.34
96,130,48,3,310.88,0.04
97,113,76,1,608.51,0.22
98,241,22,7,711.81,0.14
100,728,62,1,1480.61,0.11
102,680,52,5,897.21,0.22
103,167,32,10,1148.93,0.24
104,138,53,6,1656.92,0.0
105,735,30,2,1151.97,0.1
107,767,54,1,1741.27,0.16
108,178,26,7,1319.77,0.0
110,471,23,7,1049.1,0.19
111,300,24,5,985.93,0.32
112,507,80,5,1396.18,0.02
113,173,29,6,1593.28,0.2
114,792,69,3,838.95,0.23
115,13,1,6,1253.51,0.13
116,618,3,4,956.53,0.03
117,228,59,5,555.24,0.18
120,316,43,1,773.19,0.12
121,254,57,9,495.07,0.01
122,124,71,3,985.93,0.36
123,521,65,6,1354.12,0.32
125,653,39,2,1390.47,0.02
127,595,75,10,164.78,0.4
129,162,4,9,1375.49,0.27
131,3,48,3,1917.39,0.0
133,661,68,1,210.4,0.26
138,571,5,4,1251.68,0.18
141,470,47,5,1141.9,0.0
142,773,38,5,88.85,0.14
143,377,36,7,1655.0,0.11
144,511,32,7,825.17,0.4
146,263,24,3,1922.69,0.23
147,418,23,10,1970.61,0.36
148,562,32,8,1731.0,0.16
149,309,16,1,1048.9,0.35
150,783,77,7,24.64,0.0
152,508,42,9,942.8,0.01
154,105,80,10,804.35,0.0
156,342,62,5,1699.9,0.0
157,75,25,7,198.38,0.02
158,430,12,3,1932.17,0.06
159,496,25,5,1464.87,0.32
161,79,78,1,1955.03,0.28
162,552,76,7,389.21,0.1
165,729,70,9,985.93,0.08
167,290,56,4,1446.14,0.14
168,22,65,7,977.33,0.2
169,733,16,9,1679.0,0.33
172,304,62,1,1727.77,0.27
173,400,10,4,1155.28,0.17
177,147,47,6,320.37,0.08
179,330,33,10,1903.88,0.02
181,408,52,1,303.07,0.2
182,431,18,8,25.92,0.18
184,56,45,6,262.25,0.1
185,271,47,6,1390.32,0.4
188,490,61,5,492.5,0.0
189,195,19,8,429.34,0.27
191,243,80,9,1735.6,0.26
192,67,55,3,1034.95,0.12
194,624,80,4,253.01,0.0
198,777,47,1,279.75,0.23
199,196,66,7,1766.66,0.32
200,601,27,10,1399.47,0.23
201,264,77,1,1180.61,0.25
204,716,21,10,1944.48,0.28
205,733,60,2,1695.25,0.31
207,411,40,10,1075.28,0.35
209,588,19,3,19.78,0.17
210,682,67,6,985.93,0.14
211,458,44,9,1712.39,0.12
213,437,3,6,1642.06,0.35
214,275,20,7,126.22,0.02
215,796,36,10,29.17,0.31
216,590,63,3,1112.7,0.04
217,363,49,9,1947.5,0.01
219,363,68,6,1043.57,0.24
220,451,59,8,728.34,0.15
221,704,67,9,1046.35,0.29
222,284,14,4,340.79,0.36
223,471,54,9,423.52,0.34
224,658,12,9,1847.03,0.32
225,349,73,10,1672.77,0.37
230,421,27,1,1372.07,0.16
231,618,4,2,1096.63,0.32
233,466,76,3,1181.01,0.06
234,448,39,1,489.01,0.13
235,231,25,1,1601.73,0.18
236,338,44,6,882.76,0.36
237,529,36,1,625.8,0.39
238,668,14,6,1702.41,0.08
242,511,47,10,1820.47,0.27
243,39,18,9,739.74,0.28
244,755,48,5,1077.4,0.23
245,483,33,6,1487.31,0.23
247,294,13,5,1336.95,0.15
248,295,4,3,1074.35,0.12
250,615,49,2,7.98,0.4
251,132,18,5,1229.37,0.22
253,252,45,7,1816.39,0.17
254,770,17,10,1565.68,0.14
255,188,63,5,1624.73,0.12
256,184,43,4,1664.33,0.31
258,595,26,5,1394.88,0.24
259,297,2,8,993.62,0.0
261,16,63,8,199.15,0.25
264,142,22,5,1577.58,0.01
265,20,13,1,415.58,0.3
266,602,17,6,758.67,0.26
267,263,69,2,388.92,0.26
270,641,32,6,358.81,0.19
273,784,51,4,679.44,0.22
274,348,32,7,990.24,0.24
276,423,13,5,1133.19,0.24
277,363,29,2,790.33,0.31
278,134,49,1,985.93,0.11
280,148,75,7,1685.68,0.12
281,600,76,4,793.85,0.23
282,393,38,7,905.74,0.0
283,399,14,10,59.94,0.16
284,232,30,8,1835.7,0.17
285,577,70,1,1910.25,0.35
286,11,37,2,1544.46,0.02
287,428,54,9,1998.51,0.3
289,688,13,10,203.88,0.37
292,623,28,9,740.16,0.0
293,653,64,7,248.62,0.23
294,244,11,1,824.87,0.27
295,331,23,5,1787.38,0.0
297,644,44,7,420.37,0.15
300,6,1,7,821.31,0.24
301,484,53,2,247.82,0.35
302,14,69,3,985.93,0.14
303,275,58,6,1780.36,0.04
307,466,37,1,77.64,0.03
308,573,4,9,1172.44,0.05
310,285,24,7,1207.47,0.17
311,16,49,6,843.66,0.1
312,425,12,1,142.88,0.24
315,351,32,1,658.62,0.14
316,388,2,8,127.56,0.4
317,228,11,3,1053.09,0.09
318,633,77,8,594.5,0.06
319,123,46,7,767.99,0.08
320,221,16,9,95.09,0.21
322,350,56,6,756.26,0.29
323,745,58,3,457.67,0.11
325,776,46,2,1840.39,0.27
327,160,17,7,959.53,0.22
328,139,20,9,714.69,0.06
330,771,69,4,1407.56,0.03
331,214,17,9,1428.64,0.04
332,350,27,2,201.23,0.11
333,442,57,6,131.91,0.06
336,147,7,8,1752.25,0.28
337,221,33,3,150.53,0.23
338,300,64,1,577.31,0.14
340,456,20,1,636.73,0.29
341,688,18,9,855.55,0.0
342,738,67,3,778.46,0.1
344,622,37,10,270.5,0.22
346,113,61,1,1084.08,0.02
348,106,36,5,918.87,0.14
349,391,37,8,1100.09,0.01
350,621,68,4,970.05,0.04
351,116,11,7,879.89,0.0
353,253,47,10,1313.99,0.31
354,718,62,6,1081.15,0.11
356,654,48,3,643.27,0.35
358,496,61,2,246.14,0.3
360,695,7,8,1970.98,0.04
361,647,61,10,871.83,0.31
362,241,25,1,1231.91,0.15
363,374,26,3,258.73,0.04
365,407,20,1,273.43,0.14
366,570,27,9,1428.89,0.14
368,507,18,6,296.77,0.21
369,511,17,1,1379.97,0.29
371,743,26,7,985.93,0.36
373,46,23,4,675.17,0.0
374,758,30,4,1268.55,0.17
376,469,1,4,151.93,0.33
378,433,78,6,1297.04,0.3
379,408,17,1,821.29,0.09
380,795,21,1,322.04,0.17
381,660,51,6,985.93,0.22
382,598,31,2,275.48,0.14
383,26,71,6,1919.39,0.21
385,546,57,5,1053.54,0.02
389,201,3,3,1809.87,0.26
391,418,64,9,1806.92,0.32
392,390,55,7,711.1,0.35
393,235,46,3,1710.08,0.0
394,679,59,1,1849.0,0.36
398,248,72,3,985.93,0.4
399,24,24,4,690.12,0.35
400,230,63,6,380.24,0.32
401,171,52,5,302.23,0.17
402,508,29,6,700.38,0.14
404,784,54,2,834.39,0.08
407,76,56,5,674.5,0.28
409,316,65,5,1302.17,0.02
410,180,31,8,726.81,0.15
411,767,37,2,1045.07,0.28
414,516,63,3,200.41,0.22
417,628,5,5,1277.71,0.35
419,435,70,4,1661.06,0.27
422,665,62,10,30.2,0.0
424,688,69,3,437.3,0.0
426,242,57,2,1377.76,0.27
427,760,52,8,1090.09,0.38
428,766,37,3,438.74,0.26
429,391,23,4,6.69,0.38
430,105,48,2,985.93,0.4
433,724,77,8,1870.41,0.15
435,411,7,8,1054.01,0.29
436,460,80,3,217.38,0.05
437,567,80,1,868.17,0.2
438,418,26,8,1962.23,0.15
439,624,53,9,146.71,0.23
440,402,68,1,232.09,0.08
441,176,15,4,846.08,0.0
443,241,77,2,310.53,0.34
