product_id,name,category,price,stock_qty,supplier_id,created_at
1,Premium Shirt,Toys,1291.5,,2,2019-12-27 00:00:00
2,Premium Monitor,Automotive,1032.23,101,11,2019-08-14 00:00:00
3,Budget Headphones,Home & Kitchen,1476.81,27,5,2022-06-02 00:00:00
4,Smart Gloves,Sports,277.13,354,9,2023-10-11 00:00:00
5,Smart Watch,Books,1521.88,313,19,2023-10-18 00:00:00
6,Smart Mouse,Automotive,980.98,376,8,2022-04-01 00:00:00
7,Pro Phone,Automotive,1797.01,217,16,2022-11-27 00:00:00
8,,Beauty,484.82,151,,2022-10-02 00:00:00
9,Eco Phone,Books,-1495.84,404,15,2019-01-03 00:00:00
10,Budget Jacket,Beauty,1787.4,313,7,2019-06-15 00:00:00
11,Classic Shirt,Electronics,1031.9,,12,2022-02-18 00:00:00
12,Lite Shoes,Automotive,1962.6,446,7,2023-04-08 00:00:00
13,Classic Desk,Toys,1009.61,269,16,2022-10-21 00:00:00
14,Ultra Keyboard,Clothing,1243.8,44,6,2019-06-07 00:00:00
15,Ultra Blender,Grocery,,213,18,2021-08-28 00:00:00
16,Eco Laptop,Home & Kitchen,586.58,171,11,2023-05-31 00:00:00
17,Eco Keyboard,Books,611.64,190,2,2020-08-05 00:00:00
18,Pro Speaker,Books,1848.64,341,6,2019-03-26 00:00:00
19,Pro Keyboard,Electronics,524.51,75,18,2021-12-28 00:00:00
20,Premium Jacket,Toys,1862.48,279,11,2020-08-28 00:00:00
21,Ultra Phone,Automotive,1335.44,245,5,2019-08-28 00:00:00
22,Smart Speaker,Electronics,1682.55,269,9,2019-06-21 00:00:00
23,Eco Novel,Grocery,1951.8,184,14,
24,Classic Gloves,Home & Kitchen,619.63,212,10,2023-01-30 00:00:00
25,Smart Charger,Home & Kitchen,283.44,268,3,2022-04-24 00:00:00
26,Budget Laptop,Grocery,821.87,468,6,2020-08-15 00:00:00
27,Premium Chair,Automotive,1670.0,78,16,2022-09-25 00:00:00
28,Smart Watch,Clothing,986.31,496,12,2022-03-04 00:00:00
29,Ultra Monitor,Electronics,1948.65,29,15,2019-10-05 00:00:00
30,Premium Desk,Electronics,725.52,479,7,2020-01-11 00:00:00
31,Pro Tablet,Sports,648.6,185,19,
32,Ultra Gloves,Books,1558.72,113,18,2023-08-30 00:00:00
33,Budget Charger,Electronics,923.68,185,15,2022-05-08 00:00:00
34,Classic Watch,Home & Kitchen,-1421.24,352,5,2019-06-10 00:00:00
35,Budget Novel,Home & Kitchen,42.52,262,16,2020-06-02 00:00:00
36,Ultra Laptop,Home & Kitchen,1510.33,343,3,2023-03-09 00:00:00
37,Classic Gloves,Home & Kitchen,325.31,419,1,2023-01-05 00:00:00
38,Ultra Watch,Clothing,1803.81,435,12,2020-01-15 00:00:00
39,Budget Watch,Grocery,1670.31,160,4,2021-10-12 00:00:00
40,Ultra Tablet,Beauty,1445.66,159,15,2021-04-14 00:00:00
41,Smart Camera,Toys,1714.26,251,13,2022-09-10 00:00:00
42,Budget Shoes,Books,792.65,173,13,2023-09-13 00:00:00
43,Eco Desk,Beauty,1530.81,486,16,2019-10-29 00:00:00
44,Budget Blender,,505.13,425,1,2021-02-22 00:00:00
45,Classic Shoes,Grocery,608.99,103,16,2020-06-19 00:00:00
46,Premium Shirt,Automotive,1981.47,,6,2023-10-29 00:00:00
47,Pro Monitor,Clothing,864.21,283,19,2022-02-25 00:00:00
48,Premium Jacket,Toys,530.47,,2,2021-01-20 00:00:00
49,Premium Bag,Beauty,764.24,126,10,2022-11-10 00:00:00
50,Ultra Blender,Automotive,-678.5,263,,2021-08-19 00:00:00
51,Classic Jacket,Automotive,1142.86,172,11,2020-09-05 00:00:00
52,Smart Camera,Grocery,996.42,152,13,2022-07-03 00:00:00
53,Budget Phone,Grocery,193.99,407,10,2020-09-06 00:00:00
54,Classic Camera,Grocery,,360,6,2020-03-12 00:00:00
55,Eco Desk,Beauty,1874.64,30,12,2020-05-07 00:00:00
56,Ultra Charger,Home & Kitchen,823.47,146,9,2020-04-28 00:00:00
57,Budget Shoes,Automotive,387.87,216,2,2020-07-12 00:00:00
58,Ultra Desk,Automotive,1319.05,459,20,2019-05-11 00:00:00
59,Smart Gloves,Books,1344.99,256,17,2022-04-03 00:00:00
60,Ultra Monitor,Toys,1769.71,199,8,2020-03-22 00:00:00
61,Pro Camera,Electronics,1940.0,485,18,2022-10-30 00:00:00
62,Ultra Shoes,Electronics,729.18,17,2,2023-06-04 00:00:00
63,Ultra Tablet,Clothing,772.46,226,13,2020-06-07 00:00:00
64,Lite Chair,Toys,424.72,208,9,2023-08-13 00:00:00
65,Eco Monitor,Beauty,1475.2,422,9,2020-12-21 00:00:00
66,Classic Keyboard,Books,1391.94,,7,2020-10-04 00:00:00
67,Budget Watch,Books,502.96,405,15,2023-02-14 00:00:00
68,Pro Phone,Beauty,1654.4,193,19,2019-02-17 00:00:00
69,Lite Novel,,1948.38,307,3,2019-12-15 00:00:00
70,Budget Laptop,Automotive,1438.57,114,7,2023-07-24 00:00:00
71,Ultra Monitor,Home & Kitchen,767.24,346,6,
72,Ultra Headphones,Automotive,1237.27,446,13,2022-12-31 00:00:00
73,Smart Speaker,Toys,516.17,181,20,2023-07-17 00:00:00
74,Ultra Mouse,Toys,1241.22,21,9,2021-10-06 00:00:00
75,Eco Shoes,Sports,183.85,65,9,2021-05-30 00:00:00
76,Ultra Speaker,Beauty,1660.03,251,5,2022-09-08 00:00:00
77,Eco Shirt,Automotive,381.9,223,,2020-12-31 00:00:00
78,Eco Keyboard,Clothing,988.51,145,6,2023-08-12 00:00:00
79,Lite Phone,Books,-1996.02,393,4,2019-02-23 00:00:00
80,Budget Jacket,Toys,750.25,425,16,2020-07-05 00:00:00
1,Premium Shirt,Toys,1291.5,,2,2019-12-27 00:00:00
43,Eco Desk,Beauty,1530.81,486,16,2019-10-29 00:00:00
6,Smart Mouse,Automotive,980.98,376,8,2022-04-01 00:00:00
