order_id,customer_id,order_date,ship_date,status,total_amount,payment_method,shipping_city
1,232,2023-10-28,2023-11-07,pending,655.31,credit_card,Bangalore
2,205,2026-09-05,2026-09-12,cancelled,1431.83,wallet,New York
3,189,2024-11-15,2024-11-22,returned,2387.43,,Kolkata
4,115,2025-08-19,2025-08-27,cancelled,2641.12,upi,Jaipur
5,292,2022-04-08,2022-04-17,delivered,547.08,,London
6,92,2023-01-09,2023-01-16,returned,4385.01,debit_card,Delhi
7,133,2025-10-11,2025-10-12,returned,-1980.72,wallet,New York
8,203,2023-09-12,2023-09-16,shipped,-568.44,wallet,Chennai
9,76,,2024-08-31,shipped,3696.52,,Mumbai
10,,2024-05-01,2024-05-11,returned,3658.08,cash,Mumbai
11,217,2025-03-26,2025-04-02,,4446.81,debit_card,Ahmedabad
12,113,2025-04-18,2025-04-28,cancelled,4268.73,upi,Toronto
13,83,2025-06-27,2025-06-29,cancelled,3338.61,debit_card,Mumbai
14,184,2023-06-19,2023-06-28,shipped,169.53,upi,Toronto
15,137,2022-11-06,2022-11-16,pending,3350.73,wallet,Delhi
16,22,2024-11-04,2024-11-08,pending,4555.82,debit_card,Hyderabad
17,213,2022-01-14,2022-01-20,shipped,1440.92,cash,Bangalore
18,,2024-04-18,,returned,3975.09,upi,Toronto
19,32,2024-03-16,2024-03-19,returned,4513.53,wallet,London
20,177,2022-01-17,2022-01-27,returned,4603.05,cash,Chennai
21,276,2023-11-17,2023-11-20,delivered,2607.14,credit_card,Jaipur
22,124,2023-09-15,2023-09-17,pending,3662.61,credit_card,Hyderabad
23,298,2025-03-04,2025-03-13,returned,4224.03,wallet,Delhi
24,299,2023-01-30,2023-02-01,shipped,741.3,upi,Pune
25,266,2024-03-19,2024-03-26,shipped,4982.59,cash,London
26,271,2022-08-30,2022-08-31,cancelled,3735.02,,Bangalore
27,157,2024-02-06,2024-02-09,shipped,719.28,credit_card,
28,23,2024-05-05,2024-05-13,shipped,4502.43,cash,Bangalore
29,167,2022-07-02,2022-07-09,cancelled,1942.3,debit_card,Surat
30,159,2025-02-23,2025-02-25,shipped,970.21,credit_card,Jaipur
31,10,2023-07-18,,pending,2226.71,credit_card,Kolkata
32,47,2022-08-23,2022-08-28,shipped,728.73,,Mumbai
33,51,2023-10-18,2023-10-23,returned,1883.81,wallet,Delhi
34,163,2024-08-09,2024-08-10,pending,2043.39,debit_card,Pune
35,257,2023-02-21,2023-03-02,,4926.69,wallet,
36,247,2023-07-14,2023-07-21,shipped,4996.22,upi,London
37,72,2025-02-13,2025-02-17,delivered,3056.12,upi,Kolkata
38,236,2025-05-12,2025-05-15,cancelled,-3235.75,cash,Jaipur
39,40,2025-01-08,2025-01-16,shipped,3364.51,credit_card,Kolkata
40,9287,2022-01-20,2022-01-26,cancelled,,cash,London
41,4,2023-02-06,2023-02-08,returned,4350.88,debit_card,Bangalore
42,66,,2023-06-25,returned,3647.21,,Pune
43,27,2023-10-24,,,617.37,wallet,Mumbai
44,172,2022-06-17,2022-06-21,delivered,4890.7,credit_card,
45,172,2023-05-28,2023-06-03,returned,4164.26,cash,Delhi
46,18,2024-02-12,2024-02-14,cancelled,3915.4,,Pune
47,211,2023-04-23,2023-05-03,delivered,62.93,credit_card,Kolkata
48,56,2026-07-31,2026-08-04,returned,4522.81,credit_card,Chennai
49,263,2025-08-27,2025-09-05,pending,3879.72,,Jaipur
50,287,2022-04-22,2022-04-26,cancelled,3206.37,wallet,Kolkata
51,215,2023-11-05,2023-11-06,shipped,2484.69,upi,Pune
52,95,2022-01-14,2022-01-15,,,debit_card,Hyderabad
53,90,,2023-12-01,cancelled,117.25,upi,Chennai
54,190,2024-02-02,2024-02-12,shipped,4409.5,upi,Pune
55,126,2022-04-05,2022-04-14,shipped,1477.97,cash,Delhi
56,34,2022-12-09,2022-12-18,cancelled,1877.59,upi,New York
57,299,2025-08-23,2025-08-27,shipped,2265.88,wallet,Toronto
58,228,2024-11-28,2024-12-06,cancelled,2566.19,debit_card,Chennai
59,184,2022-06-18,2022-06-27,pending,3221.84,upi,London
60,141,2023-01-26,2023-02-04,cancelled,-4562.79,credit_card,Jaipur
61,77,2024-03-25,2024-03-29,cancelled,2377.45,debit_card,London
62,9142,2024-07-10,2024-07-20,delivered,4370.01,cash,London
63,167,2026-07-22,2026-07-25,returned,4886.44,debit_card,Delhi
64,97,2024-08-30,2024-09-07,returned,3198.63,credit_card,Pune
65,120,2023-08-20,2023-08-21,pending,-1849.57,credit_card,Hyderabad
66,106,2023-09-27,2023-10-05,cancelled,,debit_card,Pune
67,127,2024-12-12,2024-12-20,cancelled,2306.42,upi,Toronto
68,213,2023-05-26,2023-06-02,pending,2294.56,upi,Jaipur
69,35,2025-11-30,2025-12-08,returned,2062.28,cash,Hyderabad
70,237,2022-02-24,,pending,1911.97,cash,Delhi
71,125,2024-06-15,2024-06-18,cancelled,-861.24,credit_card,Bangalore
72,92,2023-03-20,2023-03-29,pending,1088.67,credit_card,Mumbai
73,,2023-05-27,2023-05-29,pending,-90.03,debit_card,Mumbai
74,56,2023-11-01,2023-11-11,delivered,,,Hyderabad
75,34,2025-09-09,2025-09-15,pending,229.26,wallet,Delhi
76,199,2025-10-20,2025-10-23,cancelled,,wallet,Jaipur
77,120,2024-10-28,2024-11-01,shipped,115.85,upi,Hyderabad
78,105,2025-08-07,2025-08-17,pending,4942.87,upi,Hyderabad
79,170,2023-12-03,2023-12-07,shipped,,cash,
80,73,2023-02-23,2023-03-04,delivered,4157.79,cash,Hyderabad
81,296,2024-07-07,2024-07-15,returned,409.28,debit_card,Toronto
82,196,2024-05-25,2024-05-30,cancelled,2979.96,cash,Bangalore
83,9882,2022-11-13,2022-11-22,delivered,3654.54,wallet,Mumbai
84,64,2024-02-28,2024-03-06,delivered,4785.91,cash,Hyderabad
85,9681,2025-07-16,2025-07-19,,1314.04,cash,Surat
86,42,2024-11-27,2024-11-30,cancelled,4150.45,credit_card,Surat
87,177,2022-10-20,2022-10-27,cancelled,-3498.05,cash,Kolkata
88,69,2023-02-10,2023-02-12,shipped,2258.8,cash,Surat
89,86,2022-06-13,2022-06-18,pending,-330.67,credit_card,Toronto
