item_id,order_id,product_id,quantity,unit_price,discount
1,171,6,3,1725.4,0.09
2,9724,9,10,1678.54,0.11
3,61,80,,1909.73,0.37
4,155,50,10,816.71,
5,711,28,9,1657.73,0.02
6,153,70,3,116.9,0.37
7,739,18,,1917.08,0.23
8,342,9472,4,1232.6,0.04
9,390,73,2,1311.9,0.2
10,762,53,2,1141.11,0.22
11,,29,3,371.42,0.06
12,146,3,8,1596.68,0.19
13,97,29,2,1304.83,0.24
14,709,46,7,78.93,0.04
15,441,70,5,1466.35,0.32
16,432,,1,1816.17,0.2
17,91,73,5,1241.32,0.23
18,787,26,3,1668.04,0.31
19,517,,9,823.39,0.11
20,504,,6,7.97,0.08
21,732,52,10,14.63,0.21
22,24,75,7,1137.6,0.3
23,690,69,8,1481.33,0.25
24,561,55,4,86.06,0.01
25,100,32,2,1049.17,0.03
26,588,9651,5,1610.82,0.27
27,385,74,10,1781.69,0.11
28,660,3,9,1820.95,0.28
29,2,20,1,1064.1,0.2
30,653,25,-4,692.16,0.18
31,719,43,,1876.84,0.25
32,118,5,-4,115.49,
33,741,23,10,1471.34,0.37
34,384,2,6,452.65,0.33
35,313,,7,1975.21,
36,512,27,3,522.65,0.14
37,104,17,3,791.51,0.39
38,410,20,2,1913.0,0.25
39,639,38,3,1158.47,0.26
40,495,39,6,1728.87,0.32
41,114,20,7,,0.24
42,708,36,2,1534.0,0.04
43,3,55,10,1578.97,0.2
44,550,3,1,697.9,0.04
45,768,36,4,,0.05
46,509,19,9,773.18,0.39
47,638,78,-2,1616.14,0.01
48,509,13,9,832.81,0.31
49,701,79,9,520.45,0.23
50,644,16,6,450.8,0.21
51,536,1,,1522.1,0.29
52,631,61,4,1355.31,0.35
53,347,30,-9,1727.27,0.36
54,361,60,1,343.58,0.1
55,125,51,7,,0.31
56,699,46,2,495.59,0.34
57,754,15,3,779.85,0.0
58,786,34,4,1407.12,0.28
59,9934,4,7,1203.37,0.32
60,488,47,7,1398.08,0.16
61,9017,12,5,1824.61,0.17
62,126,41,6,1490.2,0.37
63,138,30,8,1015.85,0.14
64,165,9302,5,873.09,0.3
65,9208,14,9,930.37,0.14
66,741,8,5,1957.51,0.21
67,723,59,3,1127.43,0.13
68,529,39,7,505.09,0.0
69,212,44,7,954.4,0.28
70,54,53,5,1036.44,0.37
71,9807,9537,10,1545.15,0.19
72,264,2,6,825.93,0.02
73,79,9851,9,523.05,0.34
74,724,23,8,211.06,0.3
75,110,55,3,1235.49,0.22
76,107,9598,3,,0.36
77,273,24,2,125.8,0.22
78,83,52,1,1776.9,0.27
79,287,49,,324.02,0.11
80,760,51,1,316.77,0.14
81,231,17,8,364.46,0.34
82,791,73,7,1438.46,0.18
83,211,76,-10,750.4,0.18
84,373,9045,9,25.41,0.29
85,381,39,1,562.59,0.22
86,178,1,2,86.27,0.32
87,232,44,1,455.94,0.16
88,,32,4,791.26,0.07
89,661,30,5,1506.55,0.04
90,627,77,2,289.57,0.39
91,16,50,5,1283.63,0.23
92,78,30,7,260.58,0.17
93,393,,1,1781.26,0.17
94,546,35,1,386.15,0.28
95,738,18,5,479.34,0.34
96,130,48,3,310.88,0.04
97,113,76,1,608.51,0.22
98,241,22,7,711.81,0.14
99,282,8,9,1572.29,0.14
